subject,experiment_name,age_group,age,trial_type,trial_index,label1,label2,image1,image2,image3,image4,image5,image6,image7,image8,choice_image,random_image,choice_label,random_label,target_image,is_right,target_label
Crossact1_p103,Experiment 2,kids,5.705555556,fam-selection,5,NA,NA,stims/penguin.png,stims/13.png,stims/dog.png,stims/10.png,NA,NA,NA,NA,stims/13.png,NA,deela,NA,NA,NA,NA
Crossact1_p103,Experiment 2,kids,5.705555556,fam-selection,6,NA,NA,stims/penguin.png,stims/13.png,stims/dog.png,stims/10.png,NA,NA,NA,NA,stims/penguin.png,NA,penguin,NA,NA,NA,NA
Crossact1_p103,Experiment 2,kids,5.705555556,fam-test,7,NA,NA,stims/penguin.png,stims/dog.png,stims/13.png,stims/10.png,NA,NA,NA,NA,stims/penguin.png,NA,penguin,NA,stims/penguin.png,1,stims/find_penguin.m4a
Crossact1_p103,Experiment 2,kids,5.705555556,fam-test,8,NA,NA,stims/13.png,stims/dog.png,stims/penguin.png,stims/10.png,NA,NA,NA,NA,stims/dog.png,NA,dog,NA,stims/dog.png,1,stims/find_dog.m4a
Crossact1_p103,Experiment 2,kids,5.705555556,fam-test,9,NA,NA,stims/10.png,stims/dog.png,stims/penguin.png,stims/13.png,NA,NA,NA,NA,stims/10.png,NA,biffer,NA,stims/10.png,1,stims/find_biffer.m4a
Crossact1_p103,Experiment 2,kids,5.705555556,fam-test,10,NA,NA,stims/dog.png,stims/13.png,stims/penguin.png,stims/10.png,NA,NA,NA,NA,stims/13.png,NA,deela,NA,stims/13.png,1,stims/find_deela.m4a
Crossact1_p103,Experiment 2,kids,5.705555556,learning,11,pahvy,guffi,stims/30.png,stims/18.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crossact1_p103,Experiment 2,kids,5.705555556,learning,12,tibble,zeevo,stims/28.png,stims/17.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crossact1_p103,Experiment 2,kids,5.705555556,learning,13,sibu,leemu,stims/21.png,stims/16.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crossact1_p103,Experiment 2,kids,5.705555556,learning,14,leemu,guffi,stims/30.png,stims/16.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crossact1_p103,Experiment 2,kids,5.705555556,learning,15,sibu,pahvy,stims/21.png,stims/18.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crossact1_p103,Experiment 2,kids,5.705555556,learning,16,zeevo,tibble,stims/28.png,stims/17.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crossact1_p103,Experiment 2,kids,5.705555556,learning,17,leemu,pahvy,stims/18.png,stims/16.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crossact1_p103,Experiment 2,kids,5.705555556,learning,18,zeevo,tibble,stims/28.png,stims/17.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crossact1_p103,Experiment 2,kids,5.705555556,learning,19,guffi,sibu,stims/30.png,stims/21.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crossact1_p103,Experiment 2,kids,5.705555556,selection,20,NA,NA,stims/16.png,stims/30.png,stims/18.png,stims/17.png,stims/21.png,stims/28.png,NA,NA,stims/30.png,NA,guffi,NA,NA,NA,NA
Crossact1_p103,Experiment 2,kids,5.705555556,selection,21,NA,NA,stims/16.png,stims/30.png,stims/18.png,stims/17.png,stims/21.png,stims/28.png,NA,NA,stims/16.png,NA,leemu,NA,NA,NA,NA
Crossact1_p103,Experiment 2,kids,5.705555556,selection,22,NA,NA,stims/16.png,stims/30.png,stims/18.png,stims/17.png,stims/21.png,stims/28.png,NA,NA,stims/28.png,NA,tibble,NA,NA,NA,NA
Crossact1_p103,Experiment 2,kids,5.705555556,selection,23,NA,NA,stims/16.png,stims/30.png,stims/18.png,stims/17.png,stims/21.png,stims/28.png,NA,NA,stims/17.png,NA,zeevo,NA,NA,NA,NA
Crossact1_p103,Experiment 2,kids,5.705555556,test,24,NA,NA,stims/18.png,stims/16.png,stims/21.png,stims/28.png,stims/30.png,stims/17.png,NA,NA,stims/16.png,NA,leemu,NA,stims/16.png,1,stims/find_leemu.m4a
Crossact1_p103,Experiment 2,kids,5.705555556,test,25,NA,NA,stims/18.png,stims/28.png,stims/17.png,stims/30.png,stims/16.png,stims/21.png,NA,NA,stims/18.png,NA,pahvy,NA,stims/21.png,0,stims/find_sibu.m4a
Crossact1_p103,Experiment 2,kids,5.705555556,test,26,NA,NA,stims/16.png,stims/18.png,stims/17.png,stims/30.png,stims/21.png,stims/28.png,NA,NA,stims/17.png,NA,zeevo,NA,stims/28.png,0,stims/find_tibble.m4a
Crossact1_p103,Experiment 2,kids,5.705555556,test,27,NA,NA,stims/16.png,stims/28.png,stims/30.png,stims/21.png,stims/18.png,stims/17.png,NA,NA,stims/30.png,NA,guffi,NA,stims/30.png,1,stims/find_guffi.m4a
Crossact1_p103,Experiment 2,kids,5.705555556,test,28,NA,NA,stims/16.png,stims/21.png,stims/28.png,stims/17.png,stims/30.png,stims/18.png,NA,NA,stims/17.png,NA,zeevo,NA,stims/17.png,1,stims/find_zeevo.m4a
Crossact1_p103,Experiment 2,kids,5.705555556,test,29,NA,NA,stims/16.png,stims/30.png,stims/21.png,stims/28.png,stims/17.png,stims/18.png,NA,NA,stims/28.png,NA,tibble,NA,stims/18.png,0,stims/find_pahvy.m4a
Crossact1_p104,Experiment 2,kids,5.861111111,fam-learning,1,penguin,dog,stims/penguin.png,stims/dog.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crossact1_p104,Experiment 2,kids,5.861111111,fam-learning,2,biffer,deela,stims/10.png,stims/13.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crossact1_p104,Experiment 2,kids,5.861111111,fam-learning,3,dog,biffer,stims/dog.png,stims/10.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crossact1_p104,Experiment 2,kids,5.861111111,fam-learning,4,deela,penguin,stims/13.png,stims/penguin.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crossact1_p104,Experiment 2,kids,5.861111111,fam-selection,5,NA,NA,stims/penguin.png,stims/dog.png,stims/13.png,stims/10.png,NA,NA,NA,NA,stims/dog.png,NA,dog,NA,NA,NA,NA
Crossact1_p104,Experiment 2,kids,5.861111111,fam-selection,6,NA,NA,stims/penguin.png,stims/dog.png,stims/13.png,stims/10.png,NA,NA,NA,NA,stims/13.png,NA,deela,NA,NA,NA,NA
Crossact1_p104,Experiment 2,kids,5.861111111,fam-test,7,NA,NA,stims/10.png,stims/13.png,stims/penguin.png,stims/dog.png,NA,NA,NA,NA,stims/penguin.png,NA,penguin,NA,stims/penguin.png,1,stims/find_penguin.m4a
Crossact1_p104,Experiment 2,kids,5.861111111,fam-test,8,NA,NA,stims/13.png,stims/penguin.png,stims/dog.png,stims/10.png,NA,NA,NA,NA,stims/10.png,NA,biffer,NA,stims/10.png,1,stims/find_biffer.m4a
